16,41195019892644
17,102484559853337
21,278931718173045
21,708618289815245
21,682922661450444
21,829167640430317
22,1449627730635
22,38941360506181
22,58232335258655
15,425547159562374
15,566127964652363
15,822740205395986
16,153900888567108
15,393926130167015
15,570728120558043
14,484688227692669
11,56199453042472
13,729246281130697
7,0093689251139315
5,123809151573835
-2,364489096950214
-1,979963007950474
-1,4929073829230324
-2,9558847386139666
-6,096192489866951
10,10070226832605
8,865463983860701
9,395638897927423
15,660541250357637
16,166477787395518
18,070483755519945
18,338637498315904
19,567818618293998
17,150318578701878
7,230797252210419
1,7774002829576814
-2,6034266171897764
-2,6562260727318994
-4,051771829418879
-4,41264728315864
-4,558438352537836
5,617842922000179
10,573499166342696
11,97258515466488
15,361741306408213
16,014110414204218
15,992369308658102
15,942990076371624
17,534046141592434
17,496287943301354
17,51869054366006
17,42905122084766
17,786772447726836
17,73659998705454
17,893065124718294
18,04330713513913
18,185632442392325
17,258411861506723
16,148286172601527
15,23116801248784
14,907608103891418
14,381452813339415
14,098535390115385
14,078674910692756
13,358481200375195
13,088563948786238
12,898049111792371
12,92928508534371
12,45469068515406
11,77693596036867
11,556961290171408
11,490375122342655
11,243178337237525
10,61264567638008
13,467009926917305
12,688806391162103
12,869846348675654
13,516517323834675
16,31721265896527
16,190189266661733
17,94225675458402
14,065260989976853
13,698717083350063
11,922438490360019
11,882882692578896
11,692724569786419
10,702779940738688
10,544213185331161
10,450172742245748
12,681112978450795
13,855620021798877
14,604543057870217
15,227262396951451
15,758158861265478
17,94864800606877
17,90694401815413
18,683980534158408
12,820076991164015
12,585476132048722
12,295941445469486
11,627199761099453
11,517301696769573
11,436617454572232
10,918621384802632
10,566868614401017
12,693351048527669
14,75695757670163
14,688634755506712
14,664545465705775
14,81868121548585
15,338283504535934
15,826935584424351
17,47432767094294
18,372501555308535
13,777865491438563
13,531561710243727
11,19367655092328
11,339402736875481
11,078589857574594
10,569329641687009
10,198141863694767
19,049824773690514
23,21471804399397
21,556442668878404
21,62758230221379
30,033605655306204
30,283191133766174
33,54274130763104
35,99559881198132
3,1259560676898985
-0,06701981269821333
-4,842298899990741
-5,120948070015413
-4,989635290075752
-6,576353553886474
-6,8541666126999266
-7,965411812464674
-7,837780528929472
-0,013390230738846931
11,78211856612765
16,809448831198843
15,989988115224797
19,324479495944008
20,394264095175856
22,149489662402132
